·ÑÅµ±àÂë£º
P[1]=0.11685116851168512  s=000
P[2]=0.11439114391143912  s=001
P[3]=0.10824108241082411  s=010
P[4]=0.0971709717097171  s=0110
P[5]=0.09225092250922509  s=0111
P[6]=0.08487084870848709  s=100
P[7]=0.08364083640836409  s=1010
P[8]=0.08241082410824108  s=1011
P[9]=0.07749077490774908  s=1100
P[10]=0.04920049200492005  s=1101
P[11]=0.038130381303813035  s=1110
P[12]=0.025830258302583026  s=11110
P[13]=0.012300123001230012  s=111110
P[14]=0.00984009840098401  s=1111110
P[15]=0.007380073800738007  s=11111110
P[16]=0.0  s=11111111
